nct_id,id,outcome_type,title,description,time_frame,population,units,dispersion_type,param_type
NCT04280705,6046451,Secondary,Change From Baseline in Glucose,"Blood to evaluate serum glucose was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",mg/dL,Standard Deviation,Mean
NCT04280705,6046452,Secondary,Change From Baseline in Creatinine,"Blood to evaluate serum creatinine was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",milligrams/deciliter (mg/dL),Standard Deviation,Mean
NCT04280705,6046453,Secondary,Change From Baseline in Aspartate Transaminase (AST),"Blood to evaluate AST was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",Units/Liter (U/L),Standard Deviation,Mean
NCT04280705,6046454,Secondary,Change From Baseline in Alanine Transaminase (ALT),"Blood to evaluate ALT was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",Units/Liter (U/L),Standard Deviation,Mean
NCT04280705,6046455,Primary,Time to Recovery,"Day of recovery is defined as the first day on which the subject satisfies one of the following three categories from the ordinal scale: 1) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 3) Not hospitalized, no limitations on activities.",Day 1 through Day 29,The intent-to-treat (ITT) population includes all participants who were randomized,Days,95% Confidence Interval,Median
NCT04674644,6417156,Secondary,The Psychosocial Effects of COVID-19 Pandemic Using the Turkish Version of the Coronavirus Anxiety Scale,"Coronavirus Anxiety Scale is an unidimensional tool that assesses the physiological anxiety related to the COVID-19. Participants rated 5 items on a 5-point Likert-type scale, from 0 (not at all) to 4 (nearly every day over the last 2 weeks). Scores are added up for a total score of 0 - 20, with higher scores indicating worse outcomes.",during the survey administration,,scores on a scale,Standard Deviation,Mean
NCT04674644,6417157,Primary,The Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 Scale,Fear of COVID-19 Scale is an unidimensional scale seven-item scale assessing anxiety regarding COVID-19 . Items are rated on a 5-item Likert scale from 1 (Strongly disagree) to 5 (Strongly agree) with scores ranging from 7 to 35. Scores are added up. A higher score of the FCV-19S represents a greater level of fear and a worse outcome.,during the survey administration,,scores on a scale,Standard Deviation,Mean
NCT04446429,6419552,Primary,COVID-19 Hospitalization,Percentage of subjects hospitalized due to COVID-19,30 days,,percentage of subjects,,Number
NCT04331366,6441875,Secondary,Count of Participants With Subjective Work of Breathing,"Participants were observed for stridor, grunting, nasal flaring, or accessory muscle use. The presence of any of these indicates that increased effort is required for breathing.","Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends)",Data on subjective work of breathing were not collected at the Baseline and Minute 30 time points.,Participants,,Count of Participants
NCT04331366,6441876,Secondary,Blood Pressure,"Systolic and diastolic blood pressure was assessed before treatment, during treatment, and 15 minutes after the end of treatment.","Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends)",,mmHg,Standard Deviation,Mean
NCT04331366,6441877,Secondary,Heart Rate,"Heart rate, in beats per minute, was assessed before treatment, during treatment, and 15 minutes after the end of treatment.","Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends)",,beats per minute,Standard Deviation,Mean
NCT04331366,6441878,Secondary,Respiratory Rate,"The number of breaths per minute was assessed before treatment, during treatment, and 15 minutes after the end of treatment.","Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends)",,breaths per minute,Standard Deviation,Mean
NCT04331366,6441879,Primary,Oxygen Saturation by Pulse Oximetry,Pulse oximetry is a way to assess whether or not a patient needs help breathing. Oxygen saturation levels for healthy individuals are 95% and above.,"Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends)",,percentage of oxygen saturation,Standard Deviation,Mean
