Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Colchicine, Standard of care",NCT04322682,NCT04322682,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH",4506
"Hygiene, Standard of care",NCT04723446,NCT04723446,Confirmed,"Outpatient, Hospital",Viral Load or Clearance,40
"SSRIs, Standard of care",NCT04718480,NCT04718480,Confirmed,Hospital,NA,100
"SSRIs, Standard of care",NCT04718480,NCT04718480,Confirmed,Hospital,NA,100
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Other, Standard of care",NCT04523181,NCT04523181,Confirmed,Hospital,Hospitalization,174
"Monoclonal antibody, Standard of care",NCT04720612,NCT04720612,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Serious Adverse Events",200
"Standard of care, Trimodulin",NCT04576728,NCT04576728,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Treatment-emergent Adverse Events, ECG",164
"Standard of care, Trimodulin",NCT04576728,NCT04576728,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Treatment-emergent Adverse Events, ECG",164
"Standard of care, Trimodulin",NCT04576728,NCT04576728,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Treatment-emergent Adverse Events, ECG",164
"Standard of care, Trimodulin",NCT04576728,NCT04576728,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Treatment-emergent Adverse Events, ECG",164
"Standard of care, Trimodulin",NCT04576728,NCT04576728,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Treatment-emergent Adverse Events, ECG",164
"Standard of care, Vitamins",NCT04536298,NCT04536298,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization",2700
Plasma based therapy,NCT04721236,NCT04721236,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Organ Failure or Dysfunction (SOFA), C-Reactive Protein, Ferritin, Lymphocyte Count, D-Dimer, Troponin, Procalcitonin, Albumin, LDH, PaO2-FiO2, Radiographic Findings, Renal Outcome (Unspecified)",300
"Other, Standard of care",NCT04634799,NCT04634799,Confirmed,Hospital,"Clinical Improvement Score (Any), Organ Failure or Dysfunction (SOFA), PAI-1",80
"Other, Standard of care",NCT04668209,NCT04668209,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, Ferritin, IL-6, D-Dimer, Creatinine Phosphokinase, LDH, SpO2",40
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
"mAb, Standard of care",NCT04409509,NCT04409509,Confirmed,Unclear,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies",124
Vaccine,NCT04587219,NCT04587219,Healthy,Healthy Unexposed,"Adverse Events, Antibodies",110
"Antihypertensive, FPV, HCQ, Other, Standard of care",NCT04356495,NCT04356495,NA,Outpatient,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, Creatinine Phosphokinase, Procalcitonin, Prothrombin, ALT, LDH, Bicarbonates, Quality of Life",820
"Plasma-based therapy, Standard of care",NCT04468009,NCT04468009,Confirmed,ICU,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",36
"Antihypertensive, Standard of care",NCT04605887,NCT04605887,Confirmed,Hospital,"Mortality, Invasive Mechanical Ventilation or ECMO",120
"Plasma based therapy, Standard of care",NCT04476888,NCT04476888,Confirmed,Hospital,"Mortality, Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, D-Dimer, Procalcitonin, Radiographic Findings",110
"Remdesivir + TCZ, Standard of care",NCT04678739,NCT04678739,Confirmed,ICU,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation",150
"Remdesivir + TCZ, Standard of care",NCT04678739,NCT04678739,Confirmed,ICU,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation",150
"Antibiotics +  Anticoagulants, HCQ + AZT",NCT04715295,NCT04715295,Confirmed,Unclear,Mortality,200
"Other, Standard of care",NCT04701606,NCT04701606,Confirmed,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Fever, Serious Adverse Events, SpO2, Respiratory Rate",402
Antibiotics,NCT04709172,NCT04709172,Confirmed,Outpatient,"Hospitalization, Visits or Returns to Emergency Department, Clinical Improvement Score (Any), Adverse Events",30
Sarilumab,NCT04386239,NCT04386239,Confirmed,Hospital,"Viral Load or Clearance, Fever, Tumor Necrosis Factor (Any)",40
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"Other, Standard of care",NCT04518410,NCT04518410,Confirmed,Outpatient,"Mortality, Hospitalization, Fever, Adverse Events, Antibodies, SpO2",2000
"SSRIs, Standard of care",NCT04711863,NCT04711863,Confirmed,Outpatient,Adverse Events,400
Stem cells,NCT04713878,NCT04713878,Confirmed,ICU,Distress,21
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"HCQ, HCQ + AZT",NCT04321278,NCT04321278,Confirmed Or Suspected,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Quality of Life",440
"Anesthetic, Standard of care",NCT04609865,NCT04609865,Confirmed,Hospital,"ICU Admission, Cough, C-Reactive Protein, Ferritin, IL-6, Lymphocyte Count, Platelet Count, D-Dimer, Fibrinogen, Triglycerides, Albumin, LDH, Blood Pressure, ECG, Bicarbonates, Cardiac Outcome (Unspecified)",100
"Other, Standard of care",NCT04455815,NCT04455815,Confirmed Or Suspected,Outpatient,"Mortality, Non-invasive Ventilation",389
"Other, Standard of care",NCT04455815,NCT04455815,Confirmed Or Suspected,Outpatient,"Mortality, Non-invasive Ventilation",389
"Nutrition, Standard of care",NCT04621071,NCT04621071,Confirmed,Outpatient,NA,84
"DHODH inhibitor, Standard of care",NCT04425252,NCT04425252,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events",23
"DHODH inhibitor, Standard of care",NCT04425252,NCT04425252,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events",23
"DHODH inhibitor, Standard of care",NCT04425252,NCT04425252,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events",23
"DHODH inhibitor, Standard of care",NCT04425252,NCT04425252,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events",23
Hygiene,NCT04347954,NCT04347954,NA,Unclear,"Viral Load or Clearance, Fever, Adverse Events, Anti SARS-COV-2 Titers",40
"mAb, Standard of care",NCT04435184,NCT04435184,Confirmed,Hospital,"Hospital Discharge, Adverse Events, C-Reactive Protein, von Wildebrandt Factor, D-Dimer",50
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
Plasma based therapy,NCT04360486,NCT04360486,NA,Hospital,NA,
"Other, Standard of care",NCT04321096,NCT04321096,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",580
"Other, Standard of care",NCT04321096,NCT04321096,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",580
"Other, Standard of care",NCT04565392,NCT04565392,Suspected,Outpatient,Serious Adverse Events,150
"Ivermectin, Standard of care",NCT04712279,NCT04712279,Confirmed,Outpatient,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Other Mild Symptoms, C-Reactive Protein, Erythrocyte Sedimentation Rate, D-Dimer",294
"NRTIs, NRTIs + NRTIs, Standard of care",NCT04712357,NCT04712357,Confirmed,Outpatient,"Viral Load or Clearance, C-Reactive Protein, IL-2, IL-6, IL-8, IL-10, Tumor Necrosis Factor (Any), Granulocyte Stimulaiting Factor, IP-10, MCP-1, MIP-1, D-Dimer, Troponin, Procalcitonin, IgG, IgM or IgA",219
"Non-invasive respiratory support, Standard of care",NCT04477954,NCT04477954,Confirmed,ICU,"Mortality, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Distress",40
"Other, Standard of care",NCT04527471,NCT04527471,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",45
Immunomodulation,NCT04710381,NCT04710381,Healthy,Healthcare Workers,NA,100
Vaccine,NCT04686773,NCT04686773,Healthy,Healthy Unexposed,"Serious Adverse Events, Antibodies",100
"Plasma based therapy, Standard of care",NCT04441996,NCT04441996,Confirmed,ICU,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Fever, Organ Failure or Dysfunction (SOFA), C-Reactive Protein, IL-6, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, Fibrinogen, INR, Albumin, Bilirubin, Blood Urea Nitrogen, Blood Pressure, Heart Rate, Respiratory Rate",20
"Other, Standard of care",NCT04610567,NCT04610567,Confirmed,Hospital,"Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, IL-6, Radiographic Findings, Renal Outcome (Unspecified)",100
"Antiretrovirals, Standard of care",NCT04710199,NCT04710199,Confirmed,Hospital,"Hospitalization, Adverse Events, C-Reactive Protein, Monocyte Count, Lymphocyte Count, Dendritic Cell Count, Neutrophils, Platelet Count, LDH, SpO2, Radiographic Findings",40
"Standard of care, Vaccine",NCT04674189,NCT04674189,Healthy,Healthcare Workers,"Mortality, Serious Adverse Events, Antibodies",2520
Anticoagulants,NCT04366960,NCT04366960,NA,Hospital,"ICU Admission, Hospitalization, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Deep Vein Thrombosis or Pulmonary Embolism, C-Reactive Protein, IL-6, D-Dimer, Radiographic Findings, Cardiac Outcome (Unspecified)",2712
"Other, Standard of care",NCT04428008,NCT04428008,Healthy,Hospital,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events, Lymphocyte Count, CD4, CD8",240
"Hygiene, Standard of care",NCT04707742,NCT04707742,Confirmed,Unclear,Viral Load or Clearance,84
"Hygiene, Standard of care",NCT04341688,NCT04341688,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, C-Reactive Protein",50
"Patch, Standard of care",NCT04598594,NCT04598594,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Blood Gas, Respiratory Rate, Depression, Anxiety",220
"Standard of care, Standard of care + Antifungal",NCT04707703,NCT04707703,Confirmed,ICU,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Adverse Events",162
"Other, Standard of care",NCT04458519,NCT04458519,Confirmed,Outpatient,NA,40
Vaccine,NCT04405908,NCT04405908,Healthy,Healthy Unexposed,"Adverse Events, ACE, ACE-II, Antibodies",150
Nutrition,NCT04706416,NCT04706416,Confirmed,Outpatient,"Mortality, ICU Admission, Non-invasive Ventilation",50
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"Non-invasive respiratory support, Standard of care",NCT04421508,NCT04421508,Confirmed,Unclear,"Mortality, Hospitalization, Hospital Discharge, Viral Load or Clearance",500
"mAb, Standard of care",NCT04483375,NCT04483375,Healthy,Healthy Unexposed,"Adverse Events, Antibodies",33
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
"Other, Standard of care",NCT04439071,NCT04439071,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Dyspnea, Treatment-emergent Adverse Events, Respiratory Rate",380
